commodity,state,season_avg,trend,exp_price,source
Paddy(Dhan)(Common),NATIONAL,2311.0,-6.571623931623928,2251.8553846153845,national
Papaya,NATIONAL,2780.909090909091,-71.72727272727276,2135.363636363636,national
Papaya (Raw),NATIONAL,1400.0,,1400.0,national
Peas Wet,NATIONAL,11500.0,,11500.0,national
Peas(Dry),NATIONAL,5216.666666666667,,5216.666666666667,national
Pepper ungarbled,NATIONAL,65950.0,,65950.0,national
Pineapple,NATIONAL,5891.666666666667,-570.0000000000001,761.6666666666665,national
Plum,NATIONAL,11000.0,,11000.0,national
Pointed gourd (Parval),NATIONAL,5082.142857142857,-131.24999999999997,3900.892857142857,national
Pomegranate,NATIONAL,8038.666666666667,121.82142857142863,9135.059523809525,national
Potato,NATIONAL,1301.9072164948454,-2.8789711760993066,1275.9964759099516,national
Pumpkin,NATIONAL,1570.2564102564102,1.824898785425106,1586.680499325236,national
Raddish,NATIONAL,1719.2307692307693,20.648351648351646,1905.065934065934,national
Rice,NATIONAL,3601.0857142857144,4.977030812324929,3645.878991596638,national
Ridgeguard(Tori),NATIONAL,2851.25,-235.36713286713277,732.9458041958048,national
Round gourd,NATIONAL,2600.0,,2600.0,national
Seemebadnekai,NATIONAL,2000.0,,2000.0,national
Seetapal,NATIONAL,3000.0,,3000.0,national
"Sesamum(Sesame,Gingelly,Til)",NATIONAL,6200.0,,6200.0,national
Snakeguard,NATIONAL,4031.25,-263.69047619047626,1658.0357142857135,national
Soyabean,NATIONAL,4162.307692307692,-0.30219780219779685,4159.587912087912,national
Spinach,NATIONAL,1541.2857142857142,-558.5714285714286,-3485.857142857142,national
Sponge gourd,NATIONAL,1868.3333333333333,-322.57142857142856,-1034.8095238095236,national
Squash(Chappal Kadoo),NATIONAL,1466.6666666666667,,1466.6666666666667,national
Sweet Potato,NATIONAL,2500.0,,2500.0,national
Sweet Pumpkin,NATIONAL,1960.0,-45.00000000000002,1554.9999999999998,national
Tapioca,NATIONAL,2050.0,,2050.0,national
Thondekai,NATIONAL,4300.0,,4300.0,national
Tomato,NATIONAL,2876.931818181818,0.7735726110387101,2883.8939716811665,national
Turmeric,NATIONAL,16750.0,,16750.0,national
Water Melon,NATIONAL,2050.0,,2050.0,national
Wheat,NATIONAL,2542.2808988764045,-0.4082907728975143,2538.6062819203266,national
Wheat,Madhya Pradesh,2527.7166666666667,-0.8525979438732985,2520.043285171807,state
White Peas,NATIONAL,3463.75,,3463.75,national
Wood,NATIONAL,598.3333333333334,,598.3333333333334,national
Yam (Ratalu),NATIONAL,3500.0,,3500.0,national
